% Filas brutas reales + sinteticas usadas para construir el entrenamiento
% Este archivo evidencia volumen de datos; el modelo entrena con el dataset preparado por usuario-mes.

@relation ecofinance_raw_training_rows

@attribute user_id numeric
@attribute user_email string
@attribute category_id numeric
@attribute category_name string
@attribute amount numeric
@attribute movement_type {expense,income,investment}
@attribute date string
@attribute base_income numeric
@attribute income_frequency string

@data
1,'sebasggc11006@gmail.com',12,'Inversiones',10000000.000000,investment,'2026-04-30',1000000.000000,'monthly'
2,'camilo.morap@gmail.com',12,'Inversiones',250000.000000,investment,'2026-04-23',2000000.000000,'monthly'
1,'sebasggc11006@gmail.com',12,'Inversiones',500000.000000,investment,'2026-04-23',1000000.000000,'monthly'
1,'sebasggc11006@gmail.com',11,'Ingresos',250000.000000,income,'2026-04-23',1000000.000000,'monthly'
2,'camilo.morap@gmail.com',10,'Suscripciones',50000.000000,expense,'2026-04-23',2000000.000000,'monthly'
1,'sebasggc11006@gmail.com',2,'Alimentacion',250000.000000,expense,'2026-04-23',1000000.000000,'monthly'
2,'camilo.morap@gmail.com',4,'Vivienda',200000.000000,expense,'2026-04-23',2000000.000000,'monthly'
1,'sebasggc11006@gmail.com',3,'Transporte',20000.000000,expense,'2026-04-23',1000000.000000,'monthly'
2,'camilo.morap@gmail.com',2,'Alimentacion',250000.000000,expense,'2026-04-17',2000000.000000,'monthly'
2,'camilo.morap@gmail.com',3,'Transporte',300000.000000,expense,'2026-04-17',2000000.000000,'monthly'
2,'camilo.morap@gmail.com',2,'Alimentacion',250000.000000,expense,'2026-04-17',2000000.000000,'monthly'
2,'camilo.morap@gmail.com',9,'Compras',200000.000000,expense,'2026-04-17',2000000.000000,'monthly'
1,'sebasggc11006@gmail.com',12,'Inversiones',200000.000000,investment,'2026-04-17',1000000.000000,'monthly'
1,'sebasggc11006@gmail.com',11,'Ingresos',700000.000000,investment,'2026-04-15',1000000.000000,'monthly'
1,'sebasggc11006@gmail.com',12,'Inversiones',700000.000000,income,'2026-04-15',1000000.000000,'monthly'
1,'sebasggc11006@gmail.com',10,'Suscripciones',100000.000000,expense,'2026-04-15',1000000.000000,'monthly'
1,'sebasggc11006@gmail.com',11,'Ingresos',200000.000000,income,'2026-04-15',1000000.000000,'monthly'
1,'synthetic_user_1@example.com',0,'Ingreso Base',1710.120000,income,'2025-11-08',1767.590000,'monthly'
1,'synthetic_user_1@example.com',0,'Inversion',58.940000,investment,'2025-11-30',1767.590000,'monthly'
1,'synthetic_user_1@example.com',0,'Salud',160.790000,expense,'2025-11-13',1767.590000,'monthly'
1,'synthetic_user_1@example.com',0,'Salud',80.850000,expense,'2025-11-04',1767.590000,'monthly'
1,'synthetic_user_1@example.com',0,'Suscripciones',145.010000,expense,'2025-11-05',1767.590000,'monthly'
1,'synthetic_user_1@example.com',0,'Ingresos',136.820000,expense,'2025-11-23',1767.590000,'monthly'
1,'synthetic_user_1@example.com',0,'Otro',124.090000,expense,'2025-11-23',1767.590000,'monthly'
1,'synthetic_user_1@example.com',0,'Servicios',150.250000,expense,'2025-11-11',1767.590000,'monthly'
1,'synthetic_user_1@example.com',0,'Gastos generales',142.370000,expense,'2025-11-22',1767.590000,'monthly'
1,'synthetic_user_1@example.com',0,'Ingreso adicional',140.420000,expense,'2025-11-01',1767.590000,'monthly'
1,'synthetic_user_1@example.com',0,'Ingresos',101.510000,expense,'2025-11-16',1767.590000,'monthly'
1,'synthetic_user_1@example.com',0,'Ocio',103.330000,expense,'2025-11-13',1767.590000,'monthly'
1,'synthetic_user_1@example.com',0,'Gastos generales',79.160000,expense,'2025-11-18',1767.590000,'monthly'
1,'synthetic_user_1@example.com',0,'Ocio',100.880000,expense,'2025-11-13',1767.590000,'monthly'
1,'synthetic_user_1@example.com',0,'Ingreso Base',1790.610000,income,'2025-12-08',1767.590000,'monthly'
1,'synthetic_user_1@example.com',0,'Inversion',76.820000,investment,'2025-12-12',1767.590000,'monthly'
