user_id,user_email,category_id,category_name,amount,movement_type,date,base_income,income_frequency
1,sebasggc11006@gmail.com,12,Inversiones,10000000.0,investment,2026-04-30,1000000.0,monthly
2,camilo.morap@gmail.com,12,Inversiones,250000.0,investment,2026-04-23,2000000.0,monthly
1,sebasggc11006@gmail.com,12,Inversiones,500000.0,investment,2026-04-23,1000000.0,monthly
1,sebasggc11006@gmail.com,11,Ingresos,250000.0,income,2026-04-23,1000000.0,monthly
2,camilo.morap@gmail.com,10,Suscripciones,50000.0,expense,2026-04-23,2000000.0,monthly
1,sebasggc11006@gmail.com,2,Alimentacion,250000.0,expense,2026-04-23,1000000.0,monthly
2,camilo.morap@gmail.com,4,Vivienda,200000.0,expense,2026-04-23,2000000.0,monthly
1,sebasggc11006@gmail.com,3,Transporte,20000.0,expense,2026-04-23,1000000.0,monthly
2,camilo.morap@gmail.com,2,Alimentacion,250000.0,expense,2026-04-17,2000000.0,monthly
2,camilo.morap@gmail.com,3,Transporte,300000.0,expense,2026-04-17,2000000.0,monthly
2,camilo.morap@gmail.com,2,Alimentacion,250000.0,expense,2026-04-17,2000000.0,monthly
2,camilo.morap@gmail.com,9,Compras,200000.0,expense,2026-04-17,2000000.0,monthly
1,sebasggc11006@gmail.com,12,Inversiones,200000.0,investment,2026-04-17,1000000.0,monthly
1,sebasggc11006@gmail.com,11,Ingresos,700000.0,investment,2026-04-15,1000000.0,monthly
1,sebasggc11006@gmail.com,12,Inversiones,700000.0,income,2026-04-15,1000000.0,monthly
1,sebasggc11006@gmail.com,10,Suscripciones,100000.0,expense,2026-04-15,1000000.0,monthly
1,sebasggc11006@gmail.com,11,Ingresos,200000.0,income,2026-04-15,1000000.0,monthly
1,synthetic_user_1@example.com,0,Ingreso Base,1710.12,income,2025-11-08,1767.59,monthly
1,synthetic_user_1@example.com,0,Inversion,58.94,investment,2025-11-30,1767.59,monthly
1,synthetic_user_1@example.com,0,Salud,160.79,expense,2025-11-13,1767.59,monthly
1,synthetic_user_1@example.com,0,Salud,80.85,expense,2025-11-04,1767.59,monthly
1,synthetic_user_1@example.com,0,Suscripciones,145.01,expense,2025-11-05,1767.59,monthly
1,synthetic_user_1@example.com,0,Ingresos,136.82,expense,2025-11-23,1767.59,monthly
1,synthetic_user_1@example.com,0,Otro,124.09,expense,2025-11-23,1767.59,monthly
